word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
level,NOUN,1,0.02564102564102564,NOUN,0.12783056542455037,8
light,NOUN,5,0.1282051282051282,NOUN,0.13343334297281664,19
low,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
music,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
natural,ADJ,1,0.02564102564102564,ADJ,0.0641025641025641,3
noise,NOUN,1,0.02564102564102564,NOUN,0.10086755349913243,5
perfect,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
relaxing,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
simple,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
subtle,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
warm,ADJ,2,0.05128205128205128,NOUN,0.1923076923076923,3
yelloworange,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
background,NOUN,1,0.02631578947368421,NOUN,0.0728744939271255,3
base,NOUN,1,0.02631578947368421,NOUN,0.02631578947368421,1
bright,ADJ,1,0.02631578947368421,ADJ,0.02631578947368421,1
button,NOUN,1,0.02631578947368421,NOUN,0.02402745995423341,2
cm,NOUN,2,0.05263157894736842,NOUN,0.05131578947368421,4
color,NOUN,1,0.02631578947368421,NOUN,0.07564946018893387,5
current,ADJ,1,0.02631578947368421,ADJ,0.025657894736842105,2
cylindrical,ADJ,1,0.02631578947368421,ADJ,0.02631578947368421,1
device,NOUN,3,0.07894736842105263,NOUN,0.18681245337423827,23
diameter,NOUN,1,0.02631578947368421,NOUN,0.02631578947368421,1
display,NOUN,1,0.02631578947368421,NOUN,0.08279280216351155,5
flat,ADJ,1,0.02631578947368421,NOUN,0.06871345029239766,2
front,ADJ,1,0.02631578947368421,ADJ,0.02631578947368421,1
height,NOUN,1,0.02631578947368421,NOUN,0.02631578947368421,1
intensity,NOUN,1,0.02631578947368421,NOUN,0.024565315183164155,3
knob,NOUN,1,0.02631578947368421,NOUN,0.02631578947368421,1
led,NOUN,1,0.02631578947368421,NOUN,0.02631578947368421,1
level,NOUN,1,0.02631578947368421,NOUN,0.12783056542455037,8
light,ADJ,3,0.07894736842105263,NOUN,0.13343334297281664,19
material,NOUN,1,0.02631578947368421,NOUN,0.05151942355889724,4
