word,Pos,avg_freq,wordCount,prevalence,wordavg
antipollution,NOUN,0.0028328611898017,1,0.01,4.021879021879022e-05
antipsychotic,NOUN,0.0008264462809917355,1,0.01,4.021879021879022e-05
antiquated,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
antique,ADJ,0.017543859649122806,1,0.01,4.021879021879022e-05
antiquity,NOUN,0.001838235294117647,1,0.01,4.021879021879022e-05
antirussian,ADJ,0.0014492753623188406,1,0.01,4.021879021879022e-05
antivaccination,NOUN,0.0017261002069573772,2,0.02,8.043758043758043e-05
antivaxxer,NOUN,0.004524886877828055,1,0.01,4.021879021879022e-05
antiviral,ADJ,0.006898215306895234,4,0.04,0.00016087516087516087
anxiety,NOUN,0.0023556912922649375,3,0.03,0.00012065637065637066
anxious,ADJ,0.005813953488372093,1,0.01,4.021879021879022e-05
apace,NOUN,0.0021645021645021645,1,0.01,4.021879021879022e-05
apartment,NOUN,0.003023420495299258,3,0.03,0.00012065637065637066
apocalypse,NOUN,0.010869565217391304,1,0.01,4.021879021879022e-05
apology,NOUN,0.007309811589050835,3,0.03,0.00012065637065637066
apologyHe,NOUN,0.0064516129032258064,1,0.01,4.021879021879022e-05
app,NOUN,0.004368810618764179,7,0.07,0.00028153153153153153
apparatus,NOUN,0.004310344827586207,1,0.01,4.021879021879022e-05
apparent,ADJ,0.005090263838415087,5,0.05,0.00020109395109395108
appeal,NOUN,0.007871143155953284,6,0.06,0.00024131274131274132
appearance,NOUN,0.0033362310883357734,3,0.03,0.00012065637065637066
applause,NOUN,0.0021645021645021645,1,0.01,4.021879021879022e-05
apple,NOUN,0.0024096385542168677,1,0.01,4.021879021879022e-05
applicable,ADJ,0.0014492753623188406,1,0.01,4.021879021879022e-05
appointment,NOUN,0.001349527665317139,1,0.01,4.021879021879022e-05
approach,NOUN,0.004443689626364675,13,0.13,0.0005228442728442728
appropriate,ADJ,0.004735279154937675,3,0.03,0.00012065637065637066
approval,NOUN,0.00513816723722958,12,0.12,0.00048262548262548264
approximation,NOUN,0.0028322710794059175,3,0.03,0.00012065637065637066
arbitrary,ADJ,0.0196078431372549,1,0.01,4.021879021879022e-05
arc,NOUN,0.003011167856263844,2,0.02,8.043758043758043e-05
architecture,NOUN,0.0026189436927106066,2,0.02,8.043758043758043e-05
archive,NOUN,0.005374096575813314,3,0.03,0.00012065637065637066
ardent,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
area,NOUN,0.008812004278096825,52,0.52,0.0020913770913770914
argentine,ADJ,0.0021645021645021645,2,0.02,8.043758043758043e-05
