Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
ADJ,1,75,0.02564102564102564,ADJ,0.0641025641025641,3
NOUN,1,75,0.02564102564102564,NOUN,0.10086755349913243,5
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
ADJ,2,75,0.05128205128205128,NOUN,0.1923076923076923,3
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
NOUN,1,76,0.02631578947368421,NOUN,0.0728744939271255,3
NOUN,1,76,0.02631578947368421,NOUN,0.02631578947368421,1
ADJ,1,76,0.02631578947368421,ADJ,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.02402745995423341,2
NOUN,2,76,0.05263157894736842,NOUN,0.05131578947368421,4
NOUN,1,76,0.02631578947368421,NOUN,0.07564946018893387,5
ADJ,1,76,0.02631578947368421,ADJ,0.025657894736842105,2
ADJ,1,76,0.02631578947368421,ADJ,0.02631578947368421,1
NOUN,3,76,0.07894736842105263,NOUN,0.18681245337423827,23
NOUN,1,76,0.02631578947368421,NOUN,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.08279280216351155,5
ADJ,1,76,0.02631578947368421,NOUN,0.06871345029239766,2
ADJ,1,76,0.02631578947368421,ADJ,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.024565315183164155,3
NOUN,1,76,0.02631578947368421,NOUN,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.12783056542455037,8
ADJ,3,76,0.07894736842105263,NOUN,0.13343334297281664,19
NOUN,1,76,0.02631578947368421,NOUN,0.05151942355889724,4
NOUN,1,76,0.02631578947368421,NOUN,0.10086755349913243,5
NOUN,1,76,0.02631578947368421,NOUN,0.02631578947368421,1
NOUN,1,76,0.02631578947368421,NOUN,0.03671310629514964,3
ADJ,1,76,0.02631578947368421,ADJ,0.18471177944862155,7
ADJ,1,76,0.02631578947368421,ADJ,0.02631578947368421,1
NOUN,2,76,0.05263157894736842,NOUN,0.07631578947368421,3
ADJ,1,76,0.02631578947368421,ADJ,0.02402745995423341,2
ADJ,1,76,0.02631578947368421,ADJ,0.02631578947368421,1
ADJ,1,76,0.02631578947368421,NOUN,0.16305645065043559,8
NOUN,1,76,0.02631578947368421,NOUN,0.10386996904024769,7
NOUN,1,76,0.02631578947368421,NOUN,0.13707900244400323,28
ADJ,1,76,0.02631578947368421,ADJ,0.02631578947368421,1
NOUN,1,77,1.0,NOUN,1.0,5
NOUN,1,78,0.3333333333333333,NOUN,0.3333333333333333,2
