vector,word,wordCount,dt,doc_id,doc,percent_of_total
3,financial,4,26/05/2020,M0ea6f,3,0.0056258790436005
3,firm,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,first,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,firstclass,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,fiscal,4,26/05/2020,M0ea6f,3,0.0056258790436005
3,fix,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,flight,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,flood,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,flow,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,focus,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,foot,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,force,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,former,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,free,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,frontline,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,fund,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,funding,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,future,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,gallery,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,gamechanger,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,generation,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,ghost,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,giant,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,global,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,good,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,government,5,26/05/2020,M0ea6f,3,0.0070323488045007
3,governor,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,great,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,gritty,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,group,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,guard,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,gunpoint,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,hastilyerected,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,head,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,headquarters,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,health,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,heavy,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,high,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,hightax,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,history,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,hole,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,hope,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,hospital,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,hostility,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,housing,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,hub,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,huge,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,hundred,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,hurricane,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,icing,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,immediate,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,impact,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,impossible,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,inch,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,inclined,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,indignity,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,industry,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,inequity,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,infection,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,infusion,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,institution,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,intellectual,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,interest,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,internal,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,interval,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,investment,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,job,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,key,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,kitchen,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,large,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,last,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,late,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,launch,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,leader,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,least,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,less,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,life,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,like,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,liquidity,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,longerlasting,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,magnetic,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,majority,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,mall,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,many,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,market,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,matter,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,mayor,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,meal,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,mean,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,member,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,metropolis,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,million,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,modern,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,moment,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,month,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,more,6,26/05/2020,M0ea6f,3,0.0084388185654008
3,morgue,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,motion,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,mould,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,murder,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,museum,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,nation,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,nearby,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,need,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,neighbourhood,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,nettlesome,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,new,7,26/05/2020,M0ea6f,3,0.0098452883263009
3,next,5,26/05/2020,M0ea6f,3,0.0070323488045007
3,nightfall,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,note,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,office,5,26/05/2020,M0ea6f,3,0.0070323488045007
3,offlimit,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,old,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,one,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,onetime,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,online,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,only,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,opportunity,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,other,13,26/05/2020,M0ea6f,3,0.0182841068917018
3,outbreak,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,overabundance,1,26/05/2020,M0ea6f,3,0.0014064697609001
